 , ,Fino. BP,MAP,Systolic,Diastolic,MSNA Iowa Int.,MSNA Iowa Int.,MSNA Iowa Int.,MSNA Iowa Int.
Sel Start,Sel Duration,Cmt Text,Value,Value,Value,Cmt Text,Cmt No,Minimum,Max - Min
s,s, ,mmHg,mmHg,mmHg, , ,V,V
7018.655939,1.36,106/63,83.41296387,111.9383698,59.90451431,BURST,85,0.5112,0.0947
7020.015939,1.32,106/63,82.2811203,112.4378357,64.31152344,BURST,86,0.5284,0.3341
7021.335939,1.3,106/63,86.02709198,116.468895,63.09288025,BURST,86,0.515,0.0669
7022.635939,1.445,109/61,86.21589661,115.5333939,65.49849701,109/61,86,0.5234,0.0828
7024.080939,1.2,109/61,86.99105835,121.0005493,67.74930573,BURST,87,0.5066,0.1737
7025.280939,1.415,109/61,88.33732605,116.7192535,64.2180481,BURST,87,0.5091,0.0747
7026.695939,1.34,109/61,85.40247345,118.3764572,69.93597412,BURST,87,0.5209,0.1034
7028.035939,1.265,109/61,86.99357605,117.5316238,63.6242218,BURST,87,0.5088,0.1312
7029.300939,1.4,109/61,87.35004425,117.1565781,66.65503693,BURST,87,0.5128,0.0881
7030.700939,1.205,109/61,85.1806488,119.5002975,66.71875,BURST,87,0.5266,0.1112
7031.905939,1.37,CAL,87.14085388,114.9386902,61.87480927,BURST,87,0.5303,0.0778
7033.275939,1.185,CAL,87.14085388,114.9386902,61.87480927,BURST,90,0.5381,0.1781
7034.460939,1.24, ,87.14085388,114.9386902,61.87480927,BURST,90,0.53,0.0663
7035.700939,1.315, ,82.01660156,111.84375,65.09374237,BURST,90,0.5109,0.0784
7037.015939,1.37, ,83.17056274,112.5631485,62.62474442,BURST,91,0.5347,0.1522
7038.385939,1.315, ,82.67100525,114.53125,62.18729401,BURST,92,0.5194,0.1656
7039.700939,1.165, ,83.23199463,114.0007324,60.84373856,BURST,93,0.5212,0.1606
7040.865939,1.14, ,83.23199463,114.0007324,60.84373856,BURST,93,0.5169,0.1153
7042.005939,1.17, ,86.22309113,114.8750534,62.18742752,BURST,93,0.5138,0.0759
7043.175939,1.335, ,85.21588135,114.0952072,65.65596771,BURST,93,0.5134,0.0741
7044.510939,1.49, ,88.30437469,122.2503738,68.5615921,BURST,93,0.5178,0.0616
7046.000939,1.45, ,85.70891571,123.6567612,65.87401581,BURST,94,0.5272,0.2897
7047.450939,1.395, ,82.84013367,120.5626907,62.59375,BURST,94,0.5269,0.0856
7048.845939,1.35, ,81.97760773,116.219223,60.68618011,BURST,95,0.5331,0.2188
7050.195939,1.435, ,81.43185425,113.5,60.96845245,BURST,95,0.5297,0.1347
7051.630939,1.395, ,81.69806671,115.3438721,61.99980927,BURST,96,0.535,0.3144
7053.025939,1.18, ,82.61184692,112.7501221,60.21867752,BURST,97,0.5547,0.1594
7054.205939,1.11, ,83.76959229,111.093895,60.7164917,BURST,97,0.5178,0.0816
7055.315939,1.255, ,83.76959229,111.093895,60.7164917,BURST,97,0.5172,0.1081
7056.570939,1.14, ,89.27179718,121.0629883,68.84333801,BURST,97,0.5256,0.0747
7057.710939,1.43, ,89.27179718,121.0629883,68.84333801,BURST,97,0.5238,0.1062
7059.140939,1.36, ,87.17430878,123.7188797,70.09322357,BURST,98,0.5331,0.4228
7060.500939,1.24, ,84.87989807,119.9375687,63.46844864,BURST,98,0.535,0.0988
7061.740939,1.34, ,83.54400635,114.1259003,62.40603256,BURST,99,0.5191,0.3109
7063.080939,1.14, ,86.82434845,118.9386139,65.62464905,BURST,99,0.5407,0.0921
7064.220939,1.285, ,86.82434845,118.9386139,65.62464905,BURST,99,0.5266,0.0681
7065.505939,1.555, ,92.26258087,122.1569519,73.09116364,BURST,99,0.5156,0.07
7067.060939,1.295, ,90.94821167,127.4404678,70.9670105,BURST,99,0.5122,0.0744
7068.355939,1.425, ,93.12672424,124.5006104,65.56240082,BURST,99,0.5244,0.0847
7069.780939,1.46, ,88.18296814,124.876564,72.46802521,BURST,99,0.5325,0.0778
7071.240939,1.36, ,85.0943222,121.4695892,64.96762085,BURST,100,0.5263,0.2175
7072.600939,1.435, ,81.62866974,114.3445206,61.1560936,BURST,100,0.5088,0.1444
7074.035939,1.295, ,81.10707855,114.531601,62.74881744,BURST,101,0.5234,0.3712
7075.330939,1.365, ,80.71205139,110.657135,58.8434639,BURST,101,0.4969,0.1063
7076.695939,1.21, ,81.2493515,113.0317459,62.78059387,BURST,102,0.4991,0.1741
7077.905939,1.33, ,84.83143616,112.9077911,60.12280273,BURST,102,0.5216,0.0572
7079.235939,1.39, ,84.6023407,114.78125,65.90615082,BURST,102,0.5247,0.0787
7080.625939,1.31, ,85.5112381,115.9706268,63.81246185,BURST,103,0.5269,0.2134
7081.935939,1.165, ,88.64091492,120.2502289,65.49991608,BURST,103,0.5153,0.0822
7083.100939,1.205, ,88.64091492,120.2502289,65.49991608,BURST,103,0.5294,0.0634
7084.305939,1.385, ,93.66919708,125.1562653,72.90621948,BURST,103,0.5247,0.0772
7085.690939,1.38, ,94.01024628,130.4688721,72.78073883,BURST,103,0.4972,0.1106
7087.070939,1.26, ,93.45554352,130.5625,69.68743134,BURST,103,0.5038,0.1069
7088.330939,1.435, ,93.56824493,129.0960541,70.59364319,BURST,103,0.5238,0.0739
7089.765939,1.27, ,89.05709076,129.5641327,70.78123474,BURST,104,0.5453,0.1681
7091.035939,1.405, ,89.40557098,123.4077148,65.15527344,BURST,104,0.5216,0.0983
7092.440939,1.32, ,84.49935913,122.0315018,68.1248703,BURST,105,0.5069,0.3494
7093.760939,1.18, ,84.68849182,118.9378967,63.03024292,BURST,105,0.5263,0.0853
7094.940939,1.165, ,86.33435822,116.2500458,63.81143951,BURST,105,0.515,0.0881
7096.105939,1.28, ,86.33435822,116.2500458,63.81143951,BURST,105,0.5125,0.0822
7097.385939,1.335, ,91.05078888,126.2820892,70.49996185,BURST,105,0.5128,0.0634
7098.720939,1.345, ,91.871521,128.0000916,68.4370575,BURST,105,0.5231,0.0606
7100.065939,1.195, ,91.0258255,127.657074,67.87332916,BURST,105,0.5184,0.0641
7101.260939,1.195, ,91.98740387,125.4704056,67.99880219,BURST,105,0.5269,0.0863
7102.455939,1.34, ,90.72682953,124.8438797,70.31125641,BURST,105,0.5201,0.1018
7103.795939,1.35, ,88.38207245,126.2829056,69.46829224,BURST,105,0.5156,0.1284
7105.145939,1.135, ,85.26161194,122.6564331,64.65625,BURST,106,0.5162,0.1394
7106.280939,1.175, ,85.26161194,122.6564331,64.65625,BURST,106,0.5106,0.0794
7107.455939,1.33, ,86.0904007,117.9089661,61.9979248,BURST,106,0.5247,0.0806
7108.785939,1.265, ,86.63560486,121.9384766,66.8744278,BURST,106,0.5166,0.0616
7110.050939,1.18, ,87.52265167,121,63.9375,BURST,106,0.5084,0.0843
7111.230939,1.335,CAL,86.22769928,118.9687729,64.90621948,BURST,106,0.52,0.075
7112.565939,1.41,CAL,89.30765533,120.1250916,66.06069946,BURST,106,0.5344,0.1175
7113.975939,1.22,CAL,89.30765533,120.1250916,66.06069946,BURST,107,0.5306,0.2359
7115.195939,1.38, ,89.30765533,120.1250916,66.06069946,BURST,107,0.5328,0.0566
7116.575939,1.295, ,76.79845428,108.1256943,58.84336472,BURST,108,0.5338,0.1266
7117.870939,1.39, ,78.62725067,107.2189255,56.37492371,BURST,108,0.5288,0.0797
7119.260939,1.37, ,75.57819366,106.9384079,59.90539932,BURST,112,0.5256,0.3859
7120.630939,1.33, ,75.61869812,106.2816696,56.34310532,BURST,112,0.532,0.0592
7121.960939,1.395, ,74.2880249,102.3126831,55.49994278,BURST,112,0.5284,0.1
7123.355939,1.15, ,76.11349487,105.1584396,57.34357071,BURST,113,0.5281,0.3078
7124.505939,1.11, ,76.11349487,105.1584396,57.34357071,BURST,113,0.5378,0.0594
7125.615939,1.16, ,78.364151,102.2816086,55.68742371,BURST,113,0.5238,0.0594
7126.775939,1.215, ,81.41024017,105.6570892,61.68732834,BURST,113,0.5425,0.0594
