 , ,Fino. BP,MAP,Systolic,Diastolic,MSNA Iowa Int.,MSNA Iowa Int.,MSNA Iowa Int.,MSNA Iowa Int.
Sel Start,Sel Duration,Cmt Text,Value,Value,Value,Cmt Text,Cmt No,Minimum,Max - Min
s,s, ,mmHg,mmHg,mmHg, , ,V,V
10902.00756,1.63, ,79.99453735,113.531456,59.43749619,BURST,463,0.5256,0.0687
10903.63756,1.455, ,77.71542358,116.0005493,61.56144714,BURST,464,0.5303,0.1488
10905.09256,1.54, ,77.46544647,111.9380264,56.96805573,BURST,464,0.5175,0.08
10906.63256,1.485, ,76.42195129,115.9067307,59.24982452,BURST,465,0.5222,0.1253
10908.11756,1.53, ,73.3579483,110.6891556,55.28124619,BURST,465,0.5328,0.0903
10909.64756,1.475, ,73.11584473,112.5940323,54.96846771,BURST,465,0.5319,0.0556
10911.12256,1.55, ,71.65650177,107.7818832,53.03121567,BURST,465,0.5391,0.1881
10912.67256,1.355, ,71.21015167,108.9378586,55.03125,BURST,466,0.5328,0.3566
10914.02756,1.465, ,73.20613098,106.7202072,51.53119659,BURST,466,0.5212,0.0703
10915.49256,1.295, ,75.53849792,110.8752518,56.87498856,BURST,466,0.52,0.0978
10916.78756,1.28, ,80.33866882,112.7189255,57.43665695,BURST,466,0.5263,0.0516
10918.06756,1.415, ,82.12031555,113.9063568,62.37497711,BURST,466,0.5009,0.09
10919.48256,1.25, ,85.78173828,122.1566772,64.65620422,BURST,466,0.5288,0.0537
10920.73256,1.265, ,87.5330658,121.40625,63.53114319,BURST,466,0.5281,0.0525
10921.99756,1.145, ,85.88378906,121.5018387,67.1556778,BURST,466,0.5238,0.1041
10923.14256,1.26, ,85.88378906,121.5018387,67.1556778,BURST,466,0.5238,0.095
10924.40256,1.275, ,84.6139679,119.281723,65.65596771,BURST,466,0.5334,0.0575
10925.67756,1.49, ,84.02649689,118.0947495,62.8125,BURST,466,0.5272,0.0959
10927.16756,1.31, ,78.91229248,119.96875,63.81203079,BURST,467,0.5434,0.2291
10928.47756,1.455, ,68.8034668,109.5941315,55.81249619,BURST,467,0.5513,0.0686
10929.93256,1.23, ,57.25616455,104.1256866,48.43731308,BURST,468,0.5363,0.24
10931.16256,1.34, ,65.8193512,104.7816391,25.21874046,BURST,468,0.5256,0.0722
10932.50256,1.185, ,65.8193512,104.7816391,25.21874046,BURST,469,0.5244,0.1697
10933.68756,1.385, ,72.41130066,102.1256256,45.62465286,BURST,469,0.5291,0.0634
10935.07256,1.27, ,71.49435425,108.6877518,52.40559387,BURST,469,0.5112,0.0697
10936.34256,1.405, ,75.82156372,108.7813034,48.52640152,BURST,469,0.5203,0.0728
10937.74756,1.305, ,72.23154449,109.4690857,54.52993011,BURST,470,0.5409,0.2019
10939.05256,1.17, ,74.59305573,109.5315323,49.40575027,BURST,470,0.5275,0.0781
10940.22256,1.235, ,74.59305573,109.5315323,49.40575027,BURST,470,0.5275,0.0669
10941.45756,1.63, ,74.76654053,108.7815323,55.5291214,BURST,470,0.52,0.0772
10943.08756,1.54, ,75.05282593,113.6255569,57.09237289,BURST,470,0.5338,0.11
10944.62756,1.385, ,75.83698273,117.9695129,53.5624733,BURST,471,0.5316,0.1437
10946.01256,1.475,CAL,78.02423096,117.9705658,53.78078079,BURST,471,0.5175,0.0841
10947.48756,1.475,CAL,83.92544556,117.5634537,56.46875,BURST,471,0.5316,0.0731
10948.96256,1.39,CAL,83.92544556,117.5634537,56.46875,BURST,471,0.5169,0.1222
10950.35256,1.495, ,83.92544556,117.5634537,56.46875,BURST,471,0.5231,0.095
10951.84756,1.39, ,74.61984253,115.0939255,55.84283066,BURST,471,0.5203,0.085
10953.23756,1.47, ,74.90606689,112.0937576,52.15607452,BURST,471,0.5103,0.1234
10954.70756,1.35, ,73.56718445,113.1876755,54.03096771,BURST,472,0.5203,0.2297
10956.05756,1.44, ,75.43822479,111.5329514,52.15595627,BURST,472,0.5288,0.0728
10957.49756,1.28, ,77.1547699,113.8750381,55.68652344,BURST,472,0.5409,0.1141
10958.77756,1.29, ,81.16993713,117.6259995,56.56246567,BURST,472,0.5162,0.0641
10960.06756,1.275, ,81.69274902,117.3753738,60.27957535,BURST,472,0.5269,0.0672
10961.34256,1.285, ,87.08153534,123.7814026,61.84363174,BURST,472,0.5238,0.0719
10962.62756,1.285, ,86.79428101,123.4376526,64.81246185,BURST,472,0.5188,0.0772
10963.91256,1.155, ,87.97422028,127.2815933,64.99901581,BURST,472,0.515,0.0884
10965.06756,1.34, ,87.97422028,127.2815933,64.99901581,BURST,472,0.5212,0.0653
